Région;2015;2016;2017;2018;2021; Évolution 2021/2015
Ile-de-France;10835;12227;13939;12275;15493;43%
Pays de la Loire;8393;8635;8739;8756;8817;5%
Nouvelle-Aquitaine;6958;7380;9028;8572;9364;35%
Hauts-de-France;2830;3243;3248;5674;3586;27%
Normandie;5158;4788;6012;4781;6017;17%
Bourgogne-Franche-comté;4058;3617;3424;4764;5124;26%
Auvergne Rhône-Alpes;4050;4120;4349;4499;5385;33%
Bretagne;2155;2655;3235;2575;2677;24%
Grand Est;2604;2230;2716;2495;3717;43%
Occitanie;840;945;1100;1445;1687;101%
Provence-Alpes-Côte d'Azur;707;731;792;644;727;3%
Total;48588;50571;56582;56480;62594;29%
