ANNEE,Regions_de_chargement,Regions_de_dechargement,Marchandises,Tkm(en millions),T(en milliers)
2021,Ile-de-France,Ile-de-France,Agriculture/Chasse/Forêt/Pêche,287,4991
2021,Ile-de-France,Ile-de-France,Houille/Lignite/Pétrole brut/Gaz,36,382
2021,Ile-de-France,Ile-de-France,Minerais/produits extraction,1304,35558
2021,Ile-de-France,Ile-de-France,Alimentaires/Boissons/Tabac,293,5175
2021,Ile-de-France,Ile-de-France,Textiles/Cuir,18,364
2021,Ile-de-France,Ile-de-France,Bois/Papier/Edition,81,1238
2021,Ile-de-France,Ile-de-France,Coke/produits pétroliers raffinés,264,5554
2021,Ile-de-France,Ile-de-France,Chimie/Caoutchouc/Plastique,94,1312
2021,Ile-de-France,Ile-de-France,Minéraux non métalliques nca,592,24321
2021,Ile-de-France,Ile-de-France,Métaux/produits métalliques,66,1479
2021,Ile-de-France,Ile-de-France,Machines/Matériel nca,165,4527
2021,Ile-de-France,Ile-de-France,Matériel de transport,59,1419
2021,Ile-de-France,Ile-de-France,Meubles/Produits manufacturés nca,57,1118
2021,Ile-de-France,Ile-de-France,Matières premières secondaires/Déchets,275,7514
2021,Ile-de-France,Ile-de-France,Courrier/Colis,265,3640
2021,Ile-de-France,Ile-de-France,Matériel transports marchandises,27,543
2021,Ile-de-France,Ile-de-France,Déménagements/Véhicules réparations,33,1109
2021,Ile-de-France,Ile-de-France,Marchandises groupées,806,10995
2021,Ile-de-France,Ile-de-France,Marchandises non identifiables,5,79
2021,Ile-de-France,Centre — Val de Loire,Agriculture/Chasse/Forêt/Pêche,56,701
2021,Ile-de-France,Centre — Val de Loire,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Ile-de-France,Centre — Val de Loire,Minerais/produits extraction,251,2536
2021,Ile-de-France,Centre — Val de Loire,Alimentaires/Boissons/Tabac,62,481
2021,Ile-de-France,Centre — Val de Loire,Textiles/Cuir,0,0
2021,Ile-de-France,Centre — Val de Loire,Bois/Papier/Edition,7,59
2021,Ile-de-France,Centre — Val de Loire,Coke/produits pétroliers raffinés,0,0
2021,Ile-de-France,Centre — Val de Loire,Chimie/Caoutchouc/Plastique,40,315
2021,Ile-de-France,Centre — Val de Loire,Minéraux non métalliques nca,72,633
2021,Ile-de-France,Centre — Val de Loire,Métaux/produits métalliques,12,83
2021,Ile-de-France,Centre — Val de Loire,Machines/Matériel nca,21,148
2021,Ile-de-France,Centre — Val de Loire,Matériel de transport,18,127
2021,Ile-de-France,Centre — Val de Loire,Meubles/Produits manufacturés nca,6,37
2021,Ile-de-France,Centre — Val de Loire,Matières premières secondaires/Déchets,22,242
2021,Ile-de-France,Centre — Val de Loire,Courrier/Colis,152,684
2021,Ile-de-France,Centre — Val de Loire,Matériel transports marchandises,4,29
2021,Ile-de-France,Centre — Val de Loire,Déménagements/Véhicules réparations,16,130
2021,Ile-de-France,Centre — Val de Loire,Marchandises groupées,193,1290
2021,Ile-de-France,Centre — Val de Loire,Marchandises non identifiables,0,0
2021,Ile-de-France,Centre — Val de Loire,Marchandises nca (non classés ailleurs),0,0
2021,Ile-de-France,Bourgogne-Franche-Comté,Agriculture/Chasse/Forêt/Pêche,37,149
2021,Ile-de-France,Bourgogne-Franche-Comté,Minerais/produits extraction,40,271
2021,Ile-de-France,Bourgogne-Franche-Comté,Alimentaires/Boissons/Tabac,71,267
2021,Ile-de-France,Bourgogne-Franche-Comté,Textiles/Cuir,0,0
2021,Ile-de-France,Bourgogne-Franche-Comté,Bois/Papier/Edition,14,65
2021,Ile-de-France,Bourgogne-Franche-Comté,Coke/produits pétroliers raffinés,34,238
2021,Ile-de-France,Bourgogne-Franche-Comté,Chimie/Caoutchouc/Plastique,34,123
2021,Ile-de-France,Bourgogne-Franche-Comté,Minéraux non métalliques nca,16,131
2021,Ile-de-France,Bourgogne-Franche-Comté,Métaux/produits métalliques,20,95
2021,Ile-de-France,Bourgogne-Franche-Comté,Machines/Matériel nca,17,66
2021,Ile-de-France,Bourgogne-Franche-Comté,Matériel de transport,27,109
2021,Ile-de-France,Bourgogne-Franche-Comté,Meubles/Produits manufacturés nca,0,0
2021,Ile-de-France,Bourgogne-Franche-Comté,Matières premières secondaires/Déchets,0,0
2021,Ile-de-France,Bourgogne-Franche-Comté,Courrier/Colis,154,740
2021,Ile-de-France,Bourgogne-Franche-Comté,Matériel transports marchandises,5,30
2021,Ile-de-France,Bourgogne-Franche-Comté,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Bourgogne-Franche-Comté,Marchandises groupées,127,526
2021,Ile-de-France,Bourgogne-Franche-Comté,Marchandises non identifiables,0,0
2021,Ile-de-France,Normandie,Agriculture/Chasse/Forêt/Pêche,162,1492
2021,Ile-de-France,Normandie,Houille/Lignite/Pétrole brut/Gaz,0,0
2021,Ile-de-France,Normandie,Minerais/produits extraction,37,302
2021,Ile-de-France,Normandie,Alimentaires/Boissons/Tabac,78,424
2021,Ile-de-France,Normandie,Textiles/Cuir,0,0
2021,Ile-de-France,Normandie,Bois/Papier/Edition,18,124
2021,Ile-de-France,Normandie,Coke/produits pétroliers raffinés,0,0
2021,Ile-de-France,Normandie,Chimie/Caoutchouc/Plastique,42,252
2021,Ile-de-France,Normandie,Minéraux non métalliques nca,110,669
2021,Ile-de-France,Normandie,Métaux/produits métalliques,30,213
2021,Ile-de-France,Normandie,Machines/Matériel nca,17,101
2021,Ile-de-France,Normandie,Matériel de transport,31,167
2021,Ile-de-France,Normandie,Meubles/Produits manufacturés nca,0,0
2021,Ile-de-France,Normandie,Matières premières secondaires/Déchets,33,333
2021,Ile-de-France,Normandie,Courrier/Colis,18,88
2021,Ile-de-France,Normandie,Matériel transports marchandises,13,85
2021,Ile-de-France,Normandie,Déménagements/Véhicules réparations,0,0
2021,Ile-de-France,Normandie,Marchandises groupées,198,1151
2021,Ile-de-France,Normandie,Marchandises non identifiables,10,57
2021,Ile-de-France,Hauts-de-France,Agriculture/Chasse/Forêt/Pêche,130,911
2021,Ile-de-France,Hauts-de-France,Minerais/produits extraction,147,2117
